INVENTORY_ID,PRODUCT_ID,COLOR,PRODUCT_SIZE,PRICE,COST_PRICE,QUANTITY
1,1,BLACK,,,,2
2,2,MAROON,,,,
3,3,BROWN,,,,
4,3,MAROON,,,,
5,3,TAN,,,,39
6,3,BLACK,,,,
7,3,MOSS GREEN,,,,
8,4,BLACK,,,,
9,4,NAVY BLUE,,,,
10,4,MAUVE PINK,,,,
11,4,KHAKI,,,,
12,4,BROWN,,,,
13,5,TAN,,,,
14,5,BROWN,,,,
15,5,BLACK,,,,
16,5,RED,,,,
17,5,OLIVE GREEN,,,,
18,5,CROCO GREEN,,,,
19,5,KHAKI,,,,
20,5,MOSS GREEN,,,,
21,5,MOCHA,,,,
22,5,GRAY,,,,
23,5,OLD ROSE,,,,
24,5,MAUVE PINK,,,,
25,5,DARK MUSTARD,,,,
26,5,POWDER BLUE,,,,
27,5,PINK,,,,
28,5,BLUE GREEN,,,,
29,5,ARMY GREEN,,,,
30,5,NAVY BLUE,,,,
31,5,LT PINK,,,,
32,5,DARK KHAKI,,,,
33,5,LILAC,,,,
34,6,BLACK,,,,10
35,6,MAROON,,,,10
36,6,NAVY BLUE,,,,10
37,6,BROWN,,,,9
38,7,NAVY BLUE,,,,
39,7,BLACK,,,,
40,7,KHAKI,,,,
41,7,GRAY,,,,
42,7,MAUVE PINK,,,,
43,7,LT BLUE,,,,
44,7,TAN,,,,
45,7,BROWN,,,,
46,7,LILAC,,,,
47,7,OLIVE GREEN,,,,
48,7,MOSS GREEN,,,,
49,7,BEIGE,,,,
50,8,BLACK/GRAY,,,,1
51,8,RUST/GRAY,,,,10
52,8,BLACK/RED,,,,11
53,8,GREEN/ORANGE,,,,1
54,9,BROWN,,,,32
55,9,NAVY BLUE,,,,10
56,9,BLACK,,,,21
57,9,MAUVE PINK,,,,
58,9,LT BLUE,,,,
59,9,MAROON,,,,6
60,9,KHAKI,,,,15
61,9,PINK,,,,1
62,9,POWDER BLUE,,,,1
63,10,PINK,,,,10
64,10,RED,,,,8
65,10,BLUE,,,,6
66,10,BLACK,,,,8
67,11,NAVY BLUE,,,,1
68,11,RED,,,,6
69,12,BLACK,,,,5
70,12,DARK KHAKI,,,,6
71,12,WHITE,,,,3
72,12,RED/VIOLET,,,,4
73,12,BEIGE,,,,5
74,12,OLD ROSE,,,,5
75,12,BLACK,,,,5
76,13,KHAKI,,,,3
77,13,BLACK,,,,1
78,13,TAN,,,,5
79,13,OLD ROSE,,,,5
80,13,MAUVE PINK,,,,5
81,13,BROWN,,,,5
82,13,GRAY,,,,2
83,13,DARK KHAKI,,,,3
84,14,TAN/BEIGE,,,,9
85,14,KHAKI/WHITE,,,,6
86,14,WHITE/TAN,,,,6
87,14,BLACK/TAN,,,,4
88,14,BROWN/KHAKI,,,,3
89,14,MAUVEPINK/HOT PINK,,,,5
90,14,BLACK/GRAY,,,,1
91,15,WHITE,,,,3
92,15,TAN,,,,2
93,15,BLACK,,,,3
94,15,BROWN,,,,2
95,15,FLESH,,,,5
96,15,KHAKI,,,,1
97,15,RED,,,,2
98,15,LT PINK,,,,3
99,15,MUSTARD,,,,
100,15,LILAC,,,,2
101,15,OFFWHITE,,,,
102,16,DARK KHAKI,,,,3
103,16,BROWN,,,,
104,16,BLACK,,,,13
105,16,POWDERBLUE,,,,
106,16,LT PINK,,,,13
107,16,NAVY BLUE,,,,4
108,16,RED,,,,8
109,16,GRAY,,,,6
110,16,OFFWHITE,,,,
111,16,SILVER,,,,
112,16,TAN,,,,5
113,16,OLD ROSE,,,,6
114,16,PINK,,,,4
115,17,WHITE,,,,
116,17,BROWN,,,,6
117,17,TAN,,,,13
118,17,KHAKI,,,,2
119,17,MAUVE PINK,,,,5
120,17,OLIVE GREEN,,,,2
121,17,LILAC,,,,5
122,17,OLD ROSE,,,,9
123,17,BLACK,,,,3
124,17,RED,,,,5
125,18,KHAKI,,,,10
126,18,BLACK,,,,6
127,18,BROWN,,,,1
128,18,GRAY,,,,12
129,18,TAN,,,,3
130,18,OLD ROSE,,,,3
131,18,DARK KHAKI,,,,
132,19,KHAKI,,,,10
133,19,TAN,,,,1
134,19,BROWN,,,,3
135,19,BLACK,,,,1
136,19,GRAY,,,,10
137,19,MAUVE PINK,,,,3
138,19,POWDER BLUE,,,,24
139,19,LT PINK,,,,13
